zip,Under 5 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,5 to 9 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Female,Male,Total
10469,2326.0,1630.0,910.0,590.0,485.0,1722.0,3034.0,1979.0,2091.0,2283.0,2986.0,2160.0,2403.0,2118.0,877.0,1176.0,563.0,854.0,1437.0,922.0,507.0,456.0,39848.0,32884.0,72732.0,1874.0
10470,479.0,220.0,106.0,26.0,105.0,311.0,802.0,657.0,436.0,473.0,568.0,419.0,548.0,486.0,162.0,332.0,92.0,180.0,347.0,162.0,149.0,100.0,7593.0,7275.0,14868.0,397.0
10471,680.0,287.0,565.0,330.0,110.0,272.0,818.0,485.0,738.0,743.0,620.0,558.0,521.0,528.0,272.0,418.0,195.0,363.0,480.0,271.0,269.0,319.0,11651.0,10076.0,21727.0,492.0
10472,2435.0,1480.0,816.0,703.0,614.0,2023.0,3004.0,2407.0,2473.0,2007.0,2516.0,2312.0,1588.0,1831.0,667.0,616.0,357.0,703.0,899.0,473.0,247.0,229.0,35078.0,33576.0,68654.0,3150.0
10473,2030.0,1402.0,767.0,494.0,573.0,1589.0,1891.0,1787.0,2174.0,1413.0,2388.0,1935.0,1976.0,1864.0,935.0,744.0,379.0,794.0,1381.0,663.0,294.0,185.0,32823.0,26529.0,59352.0,1667.0
10474,382.0,345.0,191.0,121.0,163.0,474.0,477.0,527.0,449.0,458.0,497.0,459.0,333.0,309.0,46.0,153.0,73.0,97.0,117.0,5.0,39.0,10.0,6166.0,6520.0,12686.0,414.0
10475,883.0,546.0,703.0,566.0,286.0,1042.0,1257.0,1101.0,1246.0,1720.0,2099.0,883.0,1231.0,1237.0,493.0,878.0,346.0,710.0,1149.0,841.0,440.0,334.0,24172.0,19741.0,43913.0,955.0
10550,1329.0,620.0,430.0,300.0,308.0,832.0,1828.0,1168.0,1339.0,1352.0,1361.0,1060.0,952.0,1027.0,354.0,420.0,215.0,462.0,591.0,323.0,132.0,187.0,20054.0,17489.0,37543.0,1418.0
10704,658.0,422.0,418.0,179.0,141.0,540.0,1086.0,726.0,1421.0,991.0,1362.0,880.0,1057.0,1178.0,368.0,380.0,242.0,475.0,912.0,399.0,288.0,283.0,16092.0,15229.0,31321.0,976.0
10705,1356.0,1031.0,504.0,371.0,224.0,948.0,1857.0,1648.0,1195.0,882.0,1374.0,1410.0,1549.0,1039.0,410.0,336.0,372.0,409.0,655.0,196.0,193.0,233.0,20982.0,19410.0,40392.0,1598.0
10803,568.0,337.0,99.0,40.0,67.0,124.0,302.0,251.0,335.0,510.0,496.0,368.0,496.0,468.0,134.0,150.0,113.0,213.0,195.0,115.0,154.0,25.0,6335.0,6225.0,12560.0,301.0
11001,788.0,521.0,213.0,138.0,132.0,554.0,1019.0,666.0,824.0,882.0,1186.0,855.0,1058.0,1084.0,441.0,496.0,305.0,358.0,485.0,252.0,187.0,326.0,14087.0,13464.0,27551.0,695.0
11003,1363.0,1116.0,391.0,338.0,347.0,1391.0,1640.0,1310.0,1554.0,1126.0,1743.0,1308.0,1579.0,1911.0,727.0,675.0,490.0,561.0,666.0,138.0,347.0,102.0,23490.0,21916.0,45406.0,1110.0
11004,342.0,248.0,63.0,44.0,50.0,281.0,387.0,455.0,297.0,294.0,599.0,353.0,604.0,681.0,248.0,220.0,94.0,298.0,247.0,76.0,159.0,234.0,7503.0,6275.0,13778.0,487.0
11005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,26.0,60.0,17.0,18.0,23.0,68.0,204.0,70.0,97.0,282.0,1253.0,694.0,1947.0,0.0
11020,190.0,178.0,78.0,42.0,77.0,115.0,113.0,31.0,232.0,190.0,200.0,293.0,251.0,242.0,57.0,94.0,71.0,85.0,149.0,150.0,54.0,51.0,3473.0,2905.0,6378.0,67.0
11021,438.0,379.0,133.0,45.0,58.0,160.0,304.0,381.0,481.0,491.0,610.0,629.0,742.0,613.0,264.0,211.0,192.0,317.0,385.0,289.0,186.0,330.0,9571.0,7807.0,17378.0,559.0
11040,1229.0,903.0,482.0,145.0,131.0,762.0,876.0,1115.0,1317.0,1284.0,1818.0,1366.0,1747.0,1300.0,732.0,935.0,589.0,600.0,691.0,541.0,494.0,456.0,21416.0,20018.0,41434.0,1016.0
11042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,34.0,12.0,45.0,54.0,65.0,342.0,207.0,549.0,0.0
